year,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
installed generating capacity (MW),1,1,1,1,1,1,1,23,165,765,885,896,921
dependable generating capacity (MW),1,1,1,1,1,0,0,17,125,594,700,740,737
electricity generation (GWh),1,1,1,1,1,1,1,17,139,1097,1201,1249,1246
