substation capacity (in million volt-amperes),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LUZON ,18861,"18,452","19,937",20590,21170,21110,23395,23785,25900,25887,26598,28021
VISAYAS,"3,154","3,161",3263,3414,3414,3504,3734,3926,3899,4474,4874,4884
MINDANAO,"2,200","2,260","2,643","2,793","3,142","3,318","3,478","3,327","3,902","3,646","3,380","3,531"
PHILIPPINES,"24,215","23,873","25,843","26,796","27,726","27,932","30,607","31,038","33,701","34,007","34,852","36,436"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
