,LAT,LON,ALLSKY_SFC_SW_DWN
228,9.25,4.25,5.72
229,9.25,4.75,5.72
230,9.25,5.25,5.73
231,9.25,5.75,5.73
232,9.25,6.25,5.71
233,9.25,6.75,5.71
234,9.25,7.25,5.71
235,9.25,7.75,5.71
236,9.25,8.25,5.75
237,9.25,8.75,5.75
238,9.25,9.25,5.79
239,9.25,9.75,5.79
240,9.25,10.25,5.93
241,9.25,10.75,5.93
242,9.25,11.25,5.92
243,9.25,11.75,5.93
244,9.25,12.25,5.98
245,9.25,12.75,5.98
246,9.25,13.25,6.04
247,9.25,13.75,6.04
248,9.25,14.25,6.04
249,9.25,14.75,6.04
250,9.25,15.25,6.06
251,9.25,15.75,6.06
252,9.75,2.75,5.67
253,9.75,3.25,5.66
254,9.75,3.75,5.66
255,9.75,4.25,5.72
256,9.75,4.75,5.72
257,9.75,5.25,5.73
258,9.75,5.75,5.73
259,9.75,6.25,5.71
260,9.75,6.75,5.71
261,9.75,7.25,5.71
262,9.75,7.75,5.71
263,9.75,8.25,5.75
264,9.75,8.75,5.75
265,9.75,9.25,5.79
266,9.75,9.75,5.79
267,9.75,10.25,5.93
268,9.75,10.75,5.93
269,9.75,11.25,5.92
270,9.75,11.75,5.93
271,9.75,12.25,5.98
272,9.75,12.75,5.98
273,9.75,13.25,6.04
274,9.75,13.75,6.04
275,9.75,14.25,6.04
276,9.75,14.75,6.04
277,9.75,15.25,6.06
278,9.75,15.75,6.06
279,10.25,2.75,5.83
280,10.25,3.25,5.86
281,10.25,3.75,5.86
282,10.25,4.25,5.86
283,10.25,4.75,5.86
284,10.25,5.25,5.81
285,10.25,5.75,5.81
286,10.25,6.25,5.82
287,10.25,6.75,5.82
288,10.25,7.25,5.89
289,10.25,7.75,5.89
290,10.25,8.25,5.92
291,10.25,8.75,5.92
292,10.25,9.25,5.99
293,10.25,9.75,5.99
294,10.25,10.25,6.01
295,10.25,10.75,6.01
296,10.25,11.25,5.98
297,10.25,11.75,6.0
298,10.25,12.25,6.02
299,10.25,12.75,6.02
300,10.25,13.25,6.01
301,10.25,13.75,6.01
302,10.25,14.25,5.99
303,10.25,14.75,5.99
304,10.25,15.25,6.04
305,10.25,15.75,6.04
306,10.75,2.75,5.83
307,10.75,3.25,5.86
308,10.75,3.75,5.86
309,10.75,4.25,5.86
310,10.75,4.75,5.86
311,10.75,5.25,5.81
312,10.75,5.75,5.81
313,10.75,6.25,5.82
314,10.75,6.75,5.82
315,10.75,7.25,5.89
316,10.75,7.75,5.89
317,10.75,8.25,5.92
318,10.75,8.75,5.92
319,10.75,9.25,5.99
320,10.75,9.75,5.99
321,10.75,10.25,6.01
322,10.75,10.75,6.01
323,10.75,11.25,5.98
324,10.75,11.75,6.0
325,10.75,12.25,6.02
326,10.75,12.75,6.02
327,10.75,13.25,6.01
328,10.75,13.75,6.01
329,10.75,14.25,5.99
330,10.75,14.75,5.99
331,10.75,15.25,6.04
332,10.75,15.75,6.04
333,11.25,2.75,5.9
334,11.25,3.25,5.9
335,11.25,3.75,5.9
336,11.25,4.25,5.83
337,11.25,4.75,5.83
338,11.25,5.25,5.9
339,11.25,5.75,5.9
340,11.25,6.25,5.93
341,11.25,6.75,5.93
342,11.25,7.25,5.95
343,11.25,7.75,5.95
344,11.25,8.25,6.0
345,11.25,8.75,6.0
346,11.25,9.25,6.04
347,11.25,9.75,6.04
348,11.25,10.25,6.09
349,11.25,10.75,6.09
350,11.25,11.25,6.11
351,11.25,11.75,6.12
352,11.25,12.25,6.13
353,11.25,12.75,6.13
354,11.25,13.25,6.11
355,11.25,13.75,6.11
356,11.25,14.25,6.05
357,11.25,14.75,6.05
358,11.25,15.25,6.06
359,11.25,15.75,6.06
360,11.75,2.75,5.9
361,11.75,3.25,5.9
362,11.75,3.75,5.9
363,11.75,4.25,5.83
364,11.75,4.75,5.83
365,11.75,5.25,5.9
366,11.75,5.75,5.9
367,11.75,6.25,5.93
368,11.75,6.75,5.93
369,11.75,7.25,5.95
370,11.75,7.75,5.95
371,11.75,8.25,6.0
372,11.75,8.75,6.0
373,11.75,9.25,6.04
374,11.75,9.75,6.04
375,11.75,10.25,6.09
376,11.75,10.75,6.09
377,11.75,11.25,6.11
378,11.75,11.75,6.12
379,11.75,12.25,6.13
380,11.75,12.75,6.13
381,11.75,13.25,6.11
382,11.75,13.75,6.11
383,11.75,14.25,6.05
384,11.75,14.75,6.05
385,11.75,15.25,6.06
386,11.75,15.75,6.06
387,12.25,2.75,5.99
388,12.25,3.25,6.04
389,12.25,3.75,6.04
390,12.25,4.25,6.12
391,12.25,4.75,6.12
392,12.25,5.25,6.07
393,12.25,5.75,6.07
394,12.25,6.25,6.12
395,12.25,6.75,6.12
396,12.25,7.25,6.05
397,12.25,7.75,6.05
398,12.25,8.25,6.13
399,12.25,8.75,6.13
400,12.25,9.25,6.25
401,12.25,9.75,6.25
402,12.25,10.25,6.23
403,12.25,10.75,6.23
404,12.25,11.25,6.22
405,12.25,11.75,6.24
406,12.25,12.25,6.25
407,12.25,12.75,6.25
408,12.25,13.25,6.17
409,12.25,13.75,6.17
410,12.25,14.25,5.7
411,12.25,14.75,5.7
412,12.25,15.25,6.0
413,12.25,15.75,6.0
414,12.75,2.75,5.99
415,12.75,3.25,6.05
416,12.75,3.75,6.05
417,12.75,4.25,6.1
418,12.75,4.75,6.1
419,12.75,5.25,6.06
420,12.75,5.75,6.06
421,12.75,6.25,6.11
422,12.75,6.75,6.11
423,12.75,7.25,6.06
424,12.75,7.75,6.07
425,12.75,8.25,6.16
426,12.75,8.75,6.16
427,12.75,9.25,6.26
428,12.75,9.75,6.26
429,12.75,10.25,6.24
430,12.75,10.75,6.24
431,12.75,11.25,6.24
432,12.75,11.75,6.24
433,12.75,12.25,6.24
434,12.75,12.75,6.24
435,12.75,13.25,6.17
436,12.75,13.75,6.17
437,12.75,14.25,5.73
438,12.75,14.75,5.73
439,12.75,15.25,6.01
440,12.75,15.75,6.0
441,13.25,3.25,6.4
442,13.25,3.75,6.4
443,13.25,4.25,6.39
444,13.25,4.75,6.39
445,13.25,5.25,6.28
446,13.25,5.75,6.28
447,13.25,6.25,6.32
448,13.25,6.75,6.32
449,13.25,7.25,6.38
450,13.25,7.75,6.38
451,13.25,8.25,6.48
452,13.25,8.75,6.48
453,13.25,9.25,6.47
454,13.25,9.75,6.47
455,13.25,10.25,6.395
456,13.25,10.75,6.395
457,13.25,11.25,6.47
458,13.25,11.75,6.47
459,13.25,12.25,6.47
460,13.25,12.75,6.47
461,13.25,13.25,6.51
462,13.25,13.75,6.51
463,13.25,14.25,6.39
464,13.25,14.75,6.39
465,13.25,15.25,5.94
466,13.75,3.25,6.4
467,13.75,3.75,6.4
468,13.75,4.25,6.39
469,13.75,4.75,6.39
470,13.75,5.25,6.28
471,13.75,5.75,6.28
472,13.75,6.25,6.32
473,13.75,6.75,6.32
474,13.75,7.25,6.38
475,13.75,7.75,6.38
476,13.75,8.25,6.48
477,13.75,8.75,6.48
478,13.75,9.25,6.47
479,13.75,9.75,6.47
480,13.75,10.25,6.395
481,13.75,10.75,6.395
482,13.75,11.25,6.47
483,13.75,11.75,6.47
484,13.75,12.25,6.47
485,13.75,12.75,6.47
486,13.75,13.25,6.51
487,13.75,13.75,6.51
488,13.75,14.25,6.39
489,13.75,14.75,6.39
490,13.75,15.25,5.94
491,14.25,3.25,6.53
492,14.25,3.75,6.53
493,14.25,4.25,6.62
494,14.25,4.75,6.62
495,14.25,5.25,6.46
496,14.25,5.75,6.46
497,14.25,6.25,6.3
498,14.25,6.75,6.3
499,14.25,7.25,6.65
500,14.25,7.75,6.65
501,14.25,8.25,6.62
502,14.25,8.75,6.62
503,14.25,9.25,6.69
504,14.25,9.75,6.69
505,14.25,10.25,6.64
506,14.25,10.75,6.64
507,14.25,11.25,6.7
508,14.25,11.75,6.7
509,14.25,12.25,6.74
510,14.25,12.75,6.74
511,14.25,13.25,6.74
512,14.25,13.75,6.74
513,14.25,14.25,6.65
514,14.25,14.75,6.65
515,14.25,15.25,6.39
