,LAT,LON,ALLSKY_SFC_SW_DWN
0,3.75,2.75,5.89
1,3.75,3.25,5.81
2,3.75,3.75,5.81
3,3.75,4.25,5.7
4,3.75,4.75,5.7
5,3.75,5.25,5.49
6,3.75,5.75,5.49
7,3.75,6.25,5.29
8,3.75,6.75,5.29
9,3.75,7.25,4.99
10,3.75,7.75,4.99
11,3.75,8.25,4.75
12,3.75,8.75,4.75
13,3.75,9.25,4.73
14,3.75,9.75,4.73
15,3.75,10.25,4.76
16,3.75,10.75,4.76
17,3.75,11.25,4.87
18,3.75,11.75,4.87
19,4.25,2.75,5.9
20,4.25,3.25,5.79
21,4.25,3.75,5.79
22,4.25,4.25,5.66
23,4.25,4.75,5.66
24,4.25,5.25,5.44
25,4.25,5.75,5.44
26,4.25,6.25,4.41
27,4.25,6.75,4.41
28,4.25,7.25,4.55
29,4.25,7.75,4.55
30,4.25,8.25,4.56
31,4.25,8.75,4.56
32,4.25,9.25,4.56
33,4.25,9.75,4.56
34,4.25,10.25,4.92
35,4.25,10.75,4.92
36,4.25,11.25,5.16
37,4.25,11.75,5.16
38,4.75,2.75,5.9
39,4.75,3.25,5.79
40,4.75,3.75,5.79
41,4.75,4.25,5.66
42,4.75,4.75,5.66
43,4.75,5.25,5.44
44,4.75,5.75,5.44
45,4.75,6.25,4.41
46,4.75,6.75,4.41
47,4.75,7.25,4.55
48,4.75,7.75,4.55
49,4.75,8.25,4.56
50,4.75,8.75,4.56
51,4.75,9.25,4.56
52,4.75,9.75,4.56
53,4.75,10.25,4.92
54,4.75,10.75,4.92
55,4.75,11.25,5.16
56,4.75,11.75,5.16
57,5.25,2.75,5.93
58,5.25,3.25,5.81
59,5.25,3.75,5.81
60,5.25,4.25,5.68
61,5.25,4.75,5.68
62,5.25,5.25,5.0
63,5.25,5.75,5.0
64,5.25,6.25,4.86
65,5.25,6.75,4.86
66,5.25,7.25,4.97
67,5.25,7.75,4.97
68,5.25,8.25,5.01
69,5.25,8.75,5.01
70,5.25,9.25,4.95
71,5.25,9.75,4.95
72,5.25,10.25,5.05
73,5.25,10.75,5.05
74,5.25,11.25,5.59
75,5.25,11.75,5.59
76,5.75,2.75,5.93
77,5.75,3.25,5.81
78,5.75,3.75,5.81
79,5.75,4.25,5.68
80,5.75,4.75,5.68
81,5.75,5.25,5.0
82,5.75,5.75,5.0
83,5.75,6.25,4.86
84,5.75,6.75,4.86
85,5.75,7.25,4.97
86,5.75,7.75,4.97
87,5.75,8.25,5.01
88,5.75,8.75,5.01
89,5.75,9.25,4.95
90,5.75,9.75,4.95
91,5.75,10.25,5.05
92,5.75,10.75,5.05
93,5.75,11.25,5.59
94,5.75,11.75,5.59
95,6.25,2.75,5.15
96,6.25,3.25,5.08
97,6.25,3.75,5.08
98,6.25,4.25,5.09
99,6.25,4.75,5.09
100,6.25,5.25,4.99
101,6.25,5.75,4.99
102,6.25,6.25,5.07
103,6.25,6.75,5.07
104,6.25,7.25,5.13
105,6.25,7.75,5.13
106,6.25,8.25,5.25
107,6.25,8.75,5.25
108,6.25,9.25,5.25
109,6.25,9.75,5.25
110,6.25,10.25,5.36
111,6.25,10.75,5.36
112,6.25,11.25,5.6
113,6.25,11.75,5.6
114,6.75,2.75,5.15
115,6.75,3.25,5.08
116,6.75,3.75,5.08
117,6.75,4.25,5.09
118,6.75,4.75,5.09
119,6.75,5.25,4.99
120,6.75,5.75,4.99
121,6.75,6.25,5.07
122,6.75,6.75,5.07
123,6.75,7.25,5.13
124,6.75,7.75,5.13
125,6.75,8.25,5.25
126,6.75,8.75,5.25
127,6.75,9.25,5.25
128,6.75,9.75,5.25
129,6.75,10.25,5.36
130,6.75,10.75,5.36
131,6.75,11.25,5.6
132,6.75,11.75,5.6
133,7.25,2.75,5.27
134,7.25,3.25,5.14
135,7.25,3.75,5.14
136,7.25,4.25,5.15
137,7.25,4.75,5.15
138,7.25,5.25,5.2
139,7.25,5.75,5.2
140,7.25,6.25,5.32
141,7.25,6.75,5.32
142,7.25,7.25,5.34
143,7.25,7.75,5.34
144,7.25,8.25,5.4
145,7.25,8.75,5.4
146,7.25,9.25,5.49
147,7.25,9.75,5.49
148,7.25,10.25,5.69
149,7.25,10.75,5.69
150,7.25,11.25,5.78
151,7.25,11.75,5.78
152,7.75,2.75,5.27
153,7.75,3.25,5.14
154,7.75,3.75,5.14
155,7.75,4.25,5.15
156,7.75,4.75,5.15
157,7.75,5.25,5.2
158,7.75,5.75,5.2
159,7.75,6.25,5.32
160,7.75,6.75,5.32
161,7.75,7.25,5.34
162,7.75,7.75,5.34
163,7.75,8.25,5.4
164,7.75,8.75,5.4
165,7.75,9.25,5.49
166,7.75,9.75,5.49
167,7.75,10.25,5.69
168,7.75,10.75,5.69
169,7.75,11.25,5.78
170,7.75,11.75,5.78
171,8.25,2.75,5.46
172,8.25,3.25,5.36
173,8.25,3.75,5.36
174,8.25,4.25,5.4
175,8.25,4.75,5.4
176,8.25,5.25,5.54
177,8.25,5.75,5.54
178,8.25,6.25,5.64
179,8.25,6.75,5.64
180,8.25,7.25,5.59
181,8.25,7.75,5.59
182,8.25,8.25,5.62
183,8.25,8.75,5.62
184,8.25,9.25,5.68
185,8.25,9.75,5.68
186,8.25,10.25,5.78
187,8.25,10.75,5.78
188,8.25,11.25,5.87
189,8.25,11.75,5.87
190,8.25,12.25,5.98
191,8.25,12.75,5.98
192,8.25,13.25,6.06
193,8.25,13.75,6.06
194,8.25,14.25,6.06
195,8.25,14.75,6.06
196,8.25,15.25,6.11
197,8.25,15.75,6.11
198,8.75,2.75,5.46
199,8.75,3.25,5.36
200,8.75,3.75,5.36
201,8.75,4.25,5.4
202,8.75,4.75,5.4
203,8.75,5.25,5.54
204,8.75,5.75,5.54
205,8.75,6.25,5.64
206,8.75,6.75,5.64
207,8.75,7.25,5.59
208,8.75,7.75,5.59
209,8.75,8.25,5.62
210,8.75,8.75,5.62
211,8.75,9.25,5.68
212,8.75,9.75,5.68
213,8.75,10.25,5.78
214,8.75,10.75,5.78
215,8.75,11.25,5.87
216,8.75,11.75,5.87
217,8.75,12.25,5.98
218,8.75,12.75,5.98
219,8.75,13.25,6.06
220,8.75,13.75,6.06
221,8.75,14.25,6.06
222,8.75,14.75,6.06
223,8.75,15.25,6.11
224,8.75,15.75,6.11
225,9.25,2.75,5.67
226,9.25,3.25,5.66
227,9.25,3.75,5.66
