YEAR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,AAGR (%)
INDUSTRY,5369,5948,5948,5806,6312,6529,6750,7449,7925,7523,7389,3.2
coal,1469,1841,1838,1671,2082,2261,2218,2677,3008,2411,2217,4.2
natural gas,70,69,77,58,62,77,50,65,53,59,62,-1.2
oil,1359,1402,1317,1273,1278,1206,1382,1458,1470,1469,1465,0.7
biomass,993,1028,1047,1067,1099,1131,1152,1164,1181,1199,1207,2
biodiesel,9,10,6,12,13,11,12,13,14,13,15,4.5
electricity,1469,1597,1662,1726,1778,1843,1936,2074,2199,2372,2424,5.1
TRANSPORATION,7914,8035,7983,8364,8784,9133,10557,11425,11823,12238,12689,4.8
natural gass,0.42,0.36,1.08,1.19,0.81,0.08,0,0,0,0,0,-15
oil,7773,7843,7770,8092,8460,8782,10151,10986,11352,11753,12173,4.6
biodiesel,86,85,94,89,92,96,116,121,123,127,127,4
bioethanol,45,98,108,172,222,246,281,309,339,350,380,23.8
electricity,10,9,10,10,10,10,8,9,10,9,9,-0.4
HOUSEHOLD,7633,7878,7991,8171,8386,8488,8731,9035,9192,9431,9711,2.4
oil,938,930,916,901,880,862,973,1122,1159,1255,1312,3.4
biomass,5190,5329,5468,5577,5733,5823,5802,5709,5731,5746,5772,1.1
electricity,1505,1619,1607,1693,1772,1803,1956,2204,2303,2430,2627,5.7
SERVICES,2413,2663,2739,2830,3038,3397,3370,3865,4404,4668,4915,7.4
oil,826,941,979,965,1121,1432,1292,1632,2074,2223,2339,11
biomass,309,313,318,323,327,332,337,340,345,350,353,1.3
biodiesel,9,11,13,13,15,20,14,21,28,30,33,14
electricity,1269,1398,1429,1529,1574,1613,1727,1872,1958,2065,2191,5.6
AGRICULTURE,330,347,302,318,352,354,401,450,516,440,472,3.6
oil,205,215,186,181,189,172,194,229,290,208,228,1.1
biodiesel,4,4,1,3,4,3,4,4,5,4,4,1
electricity,121,128,115,133,160,178,209,218,220,228,240,7
NON-ENERGY USE,267,220,220,285,428,605,1179,1306,1613,1423,1137,15.6
oil,112,120,117,172,314,450,1047,1129,1458,1261,996,24.5
coal,155,100,103,113,114,154,132,177,155,162,141,-1
TOTAL,23926,25092,25182,25774,27299,28506,30988,33530,35474,35723,36312,4.3
