type of fuel,2011,2004
total number of households (thousands),20969,16973
electricity,87.2,87.6
lpg,41.2,52.1
kerosene,34.3,56.1
gasoline,23.6,11.7
diesel,4.9,3.3
firewood,54.2,55.1
charcoal,36.4,34.2
biomass residues,22.3,18.7
